blockNumber,reserve0,reserve1
18258402,5.250152458998272e21,8786410147097.0
18258414,5.250146501620942e21,8786420147097.0
18258420,5.250138161315422e21,8786434147097.0
18258426,5.249959446851253e21,8786734147097.0
18258426,5.249790665864776e21,8787017490994.0
18258443,5.2494928546688e21,8787517490994.0
18258443,5.249483147352357e21,8787533789721.0
18258445,5.249487622840111e21,8787526320323.0
18258450,5.249491622840111e21,8787519644505.0
18258455,5.249473755254447e21,8787549644505.0
18258479,5.249590572810874e21,8787354684439.0
18258493,5.249611869691664e21,8787319142418.0
18258499,5.249552308822563e21,8787419142418.0
18258514,5.249347084610242e21,8787763721962.0
18258576,5.249345893161686e21,8787765722530.0
18258593,5.24904813255032e21,8788265722530.0
18258599,5.248839720256222e21,8788615722530.0
18258604,5.245342238546038e21,8794493416089.0
18258605,5.240658572795125e21,8802376854834.0
18258606,5.238483294550006e21,8806043037105.0
18258611,5.235838770701931e21,8810504192006.0
18258612,5.233340557933321e21,8814722672355.0
18258614,5.188946932733896e21,8890363256963.0
18258614,5.193222399855129e21,8883065953841.0
18258616,5.147808550608222e21,8961667964465.0
18258616,5.167893445655055e21,8926942737973.0
18258617,5.176669589775076e21,8911853982641.0
18258617,5.178903967281346e21,8908020597323.0
18258617,5.181654059237859e21,8903306963265.0
18258618,5.157507677222605e21,8945115827788.0
18258618,5.176134082183985e21,8913022900041.0
18258618,5.177305758694633e21,8911011843019.0
18258618,5.178460379033418e21,8909030950029.0
18258618,5.180985115338275e21,8904702524584.0
18258619,5.181789994738784e21,8903323519775.0
18258620,5.166226510607936e21,8930225879763.0
18258620,5.169306248647937e21,8924921435459.0
18258620,5.181049978364213e21,8904752137633.0
18258620,5.181169387398965e21,8904547527838.0
18258621,5.181829387398965e21,8903416774167.0
18258622,5.17000094727486e21,8923848186958.0
18258622,5.176762256147883e21,8912227773276.0
18258626,5.182862256147625e21,8901769905722.0
18258648,5.179651440213796e21,8907304631143.0
18258650,5.169464648285779e21,8924909914238.0
18258657,5.168900460639608e21,8925887003153.0
18258663,5.168959260639608e21,8925785770464.0
18258691,5.165076824645755e21,8932515208830.0
18258698,5.164654625107257e21,8933247620197.0
18258718,5.164707634074061e21,8933156207160.0
18258736,5.164834999829096e21,8932936574794.0
18258747,5.160154694091662e21,8941063206809.0
18258748,5.160316047269587e21,8940784475608.0
18258751,5.159893494493013e21,8941518855353.0
18258755,5.160493494493014e21,8940482361760.0
18258756,5.160690162853014e21,8940142671677.0
18258756,5.160756155942028e21,8940028692704.0
18258757,5.160779155942029e21,8939988969284.0
18258761,5.160862625705113e21,8939844811186.0
18258773,5.160439348014779e21,8940580295682.0
18258776,5.160470300068412e21,8940526831730.0
18258795,5.159932092409149e21,8941462181062.0
18258808,5.16051415640016e21,8940456682143.0
18258811,5.159363457828413e21,8942456682143.0
18258828,5.159373072702005e21,8942440067208.0
18258831,5.159431072702005e21,8942339841903.0
18258859,5.151390324148976e21,8956339841903.0
18258861,5.152370324148977e21,8954641422371.0
18258866,5.156358324148976e21,8947736537754.0
18258866,5.157005124148976e21,8946617664331.0
18258871,5.157124124148977e21,8946411841550.0
18258874,5.157153861648976e21,8946360408958.0
18258875,5.157191101648976e21,8946296001227.0
18258880,5.165711101648976e21,8931584735125.0
18258942,5.165425006545777e21,8932080913381.0
18258968,5.165416433753334e21,8932095782131.0
18259023,5.165312654412901e21,8932275782131.0
18259072,5.165107446862492e21,8932631725528.0
18259107,5.165467314856848e21,8932011273393.0
18259115,5.165315439163683e21,8932274691442.0
18259121,5.165265719496942e21,8932360930192.0
18259122,5.165161946264969e21,8932540930192.0
18259150,5.165104296274629e21,8932640930192.0
18259158,5.16507316581598e21,8932694930192.0
18259182,5.164960042269158e21,8932891163801.0
18259185,5.164880491848771e21,8933029163801.0
18259204,5.164739267073396e21,8933274163801.0
18259218,5.173739324294204e21,8917780689544.0
18259226,5.173548380659602e21,8918110814457.0
18259226,5.173490543633586e21,8918210814457.0
18259230,5.173461625606483e21,8918260814457.0
18259242,5.171179278322981e21,8922208814457.0
18259246,5.17093594442764e21,8922629939119.0
18259276,5.170679417559213e21,8923073939119.0
18259279,5.170651106900203e21,8923122942278.0
18259289,5.170422047843395e21,8923519442278.0
18259308,5.170419159460658e21,8923524442278.0
18259311,5.170402528053347e21,8923553232559.0
18259312,5.170146054185386e21,8923997232559.0
18259354,5.170088798721976e21,8924096357559.0
18259363,5.170059918768576e21,8924146357559.0
18259374,5.169945412931027e21,8924344607559.0
18259376,5.169933861552665e21,8924364607559.0
18259378,5.170220801078702e21,8923870804448.0
18259379,5.170106288142185e21,8924069054448.0
18259383,5.169991780285781e21,8924267304448.0
18259449,5.170310820285781e21,8923718274173.0
18259455,5.170279327635973e21,8923772792923.0
18259462,5.170022866189089e21,8924216792923.0
18259466,5.169964530546824e21,8924317792923.0
18259495,5.172455631175789e21,8920032650014.0
